RequestNumber,Timestamp,ResponseTime(ms),StatusCode,URL,RequestId
1,2025-07-31T17:02:00.350Z,2421,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,b32fd03b-7203-4bd9-8f92-52571e7fe00e
2,2025-07-31T17:02:00.888Z,2962,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,f8dd4b1e-cc3d-406d-ba3c-7dc694b187e4
3,2025-07-31T17:02:01.347Z,3413,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,2134caf6-f55f-431a-9e01-bde7cc575ec6
4,2025-07-31T17:02:01.450Z,3271,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,e8596ce7-fb61-43cf-beff-46ec22e57f19
5,2025-07-31T17:02:01.567Z,3328,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,e670c83a-a4ad-4330-b8e4-247b22cf276d
6,2025-07-31T17:02:01.601Z,3480,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,53bff15a-513a-45fe-aa98-398386615924
7,2025-07-31T17:02:01.602Z,3671,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,d363da6e-00a7-4e50-b213-4ed5c8b8444d
8,2025-07-31T17:02:01.614Z,3696,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,a702a452-5e7a-482d-b59c-130bdd2625be
9,2025-07-31T17:02:01.635Z,3036,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,ef340ea2-6321-426c-bb6f-db8fb1d4d753
10,2025-07-31T17:02:01.672Z,3533,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,69658b24-3c15-4a06-aedf-1c7356ef2539
11,2025-07-31T17:02:01.794Z,3752,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,74f3da20-18eb-4923-9b53-b6a9725c8fa3
12,2025-07-31T17:02:01.819Z,3460,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,aa2e611a-f848-4dad-8798-a9928e4f83d0
13,2025-07-31T17:02:01.825Z,3821,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,1f0a7bb2-9eec-4163-b4bd-7e3f284a4af5
14,2025-07-31T17:02:01.835Z,3894,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,333dfc78-6818-4a06-98ff-e93dd749aa17
15,2025-07-31T17:02:01.839Z,3809,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,70a921c4-fe57-4d11-a91f-01c102dfe2e6
16,2025-07-31T17:02:01.856Z,3656,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,03176a5a-3610-48a3-a912-409bcb87a158
17,2025-07-31T17:02:01.860Z,3701,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,2b3ac3ab-fb76-4c17-bba5-400ecfb3dddf
18,2025-07-31T17:02:01.898Z,3839,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,952cc970-3514-42eb-b0f3-a90751d93108
19,2025-07-31T17:02:01.951Z,3672,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,97e22b25-4987-412f-a49f-f9cca86f67d4
20,2025-07-31T17:02:01.987Z,3908,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,a43c05ad-11bb-4fd8-a816-741efda1cdf7
21,2025-07-31T17:02:01.994Z,3515,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,1ca1e86c-ae9b-4787-8763-010c811d4604
22,2025-07-31T17:02:02.034Z,3734,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,8a7fb4f2-7c7f-460e-bc0a-1b7ac4abc8a1
23,2025-07-31T17:02:02.094Z,3874,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,3b91db61-1d30-4443-b265-fc3dc32ff42d
24,2025-07-31T17:02:02.136Z,3316,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,3a78417a-7859-44d7-ac39-aa3a99a74a22
25,2025-07-31T17:02:02.174Z,3755,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,b1238eca-ab03-412b-ab1f-c7fb90b0441e
26,2025-07-31T17:02:02.180Z,3377,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,b7adee24-987f-42c7-bde5-996ee354a63c
27,2025-07-31T17:02:02.202Z,4240,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,e199d8b4-b97f-4cf1-a9a6-84e88a0800c3
28,2025-07-31T17:02:02.205Z,3547,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,517ae593-06ba-4019-a997-2b5fb9f5b8ab
29,2025-07-31T17:02:02.230Z,3909,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,4807ab18-9a23-4fd0-ad9a-79f4271a212f
30,2025-07-31T17:02:02.251Z,3751,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,e5af0902-2578-4651-a2b1-1b6e589f961f
31,2025-07-31T17:02:02.265Z,3926,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,9a44268d-532a-4072-ad8e-c157d5528c26
32,2025-07-31T17:02:02.297Z,3578,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,77d34b25-4709-4ab5-98df-b1ffa7b36f06
33,2025-07-31T17:02:02.302Z,3662,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,81311796-4b87-4024-87c6-63920d816c8c
34,2025-07-31T17:02:02.321Z,3640,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,db114157-b370-4299-8ec6-39ef347a441f
35,2025-07-31T17:02:02.353Z,3811,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,1ce45c93-f059-49cf-8d1b-ddcf6a0a9c3a
36,2025-07-31T17:02:02.359Z,4260,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,d621ecc3-122f-4b26-8abd-5267c5a58fe3
37,2025-07-31T17:02:02.402Z,4002,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,6d9af2e1-1f7f-4ef6-b999-8aff2084457b
38,2025-07-31T17:02:02.419Z,3980,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,182ef95a-201b-402a-9749-3f3a0e3859b2
39,2025-07-31T17:02:02.421Z,3901,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,f92c50fa-42dd-41f1-a4b3-ddb4c0c390f5
40,2025-07-31T17:02:02.491Z,3732,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,82812e6f-218b-4b34-9665-d5065d02d50a
41,2025-07-31T17:02:02.531Z,4151,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,59d5aadf-b863-4577-9b93-35fa2ce612e7
42,2025-07-31T17:02:02.620Z,3922,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,8c5e8883-8f51-4c25-ae25-c42ad9938802
43,2025-07-31T17:02:02.771Z,4152,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,fa3cae4b-c41d-4acc-a906-d80e4a2fa157
44,2025-07-31T17:02:02.789Z,4331,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,13e8c75b-dd3d-4e87-9ff2-25eb76b4b03e
45,2025-07-31T17:02:03.096Z,4517,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,91e58f28-d23b-41bc-a0d4-198496cdf0cf
46,2025-07-31T17:02:03.591Z,5033,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,a9908293-7138-4c36-b848-c88f8068fec4
47,2025-07-31T17:02:03.980Z,5235,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,2e8f8549-06e2-43fa-bece-0f33ae35f20b
48,2025-07-31T17:02:04.836Z,6057,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,fe5e95ab-33de-4a45-bc2d-538749a8c4d1
49,2025-07-31T17:02:04.839Z,6577,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,ae899705-810b-4739-b68e-97bc2c814f25
50,2025-07-31T17:02:06.137Z,8156,200,https://m6ks5oetmg.execute-api.us-east-1.amazonaws.com/staging/invoke-claude,5f946aca-2490-48c0-b2e2-5d5db404f208
